Index,Question,Proposed Solution,Answer
10,"Suppose an amount of 100,000 kwanzas is invested at an interest rate of 4 percent per year and the interest is calculated continuously. In what time will we have a total profit of 200,000 kwanzas?","We have dA/dt = kA  Therefore dA/dt = 0,04A →  dA/t = 0,04dt  → lnA= 0,04t+c → A =Ce^(0,04t) and since A(0)=2, we have C=100000  and A(t)= 100000e^(0,044t). Hence 300000= 100000e^(0,044t) → 300000/100000= e^(0,04t) → t=ln(3)/0.04 ≈27.465  years.",27.465
11,"At time t = 0, a tank contains 4 lb of salt dissolved in 100 gal of water. Suppose that brine containing 2 lb of salt per gallon of brine is allowed to enter the tank at a rate of 5 gal/min and that the mixed solution is drained from the tank at the same rate . Find the amount of salt in the tank after 10 minutes?","Let y(t) be the amount of salt (in pounds) after t minutes. We are given that y(0) = 4, and we want to find y(10). We will begin by finding a differential equation that is satisfied by y(t). To do this, observe that dy/dt, which is the rate at which the amount of salt in the tank changes with time, can be expressed as dy/dt = rate in - rate out where rate in is the rate at which salt enters the tank and rate out is the rate at which salt leaves the tank. But the rate at which salt enters the tank is- rate in = (2 lb/gal) * (5 gal/min) = 10 lb/min Since brine enters and drains from the tank at the same rate, the volume of brine in the tank stays constant at 100 gal. Thus, after t minutes have elapsed, the tank contains y(t) lb of salt per 100 gal of brine, and hence the rate at which salt leaves the tank at that instant is rate out =(y(t)/100)lb/gal *(5 gal/min)=y(t)/20 lb/min Therefore, we have    dy/dt= 10 -y/20 → dy/dt +y/20 = 10    which is a first-order linear differential equation satisfied by y(t). Since we are given that y(0) = 4, the function y(t) can be obtained by solving the initial-value problem    dy/dt +y/20 = 10 , y(0) = 4.    The integrating factor for the differential equation is    μ=e^∫1/20 dt =e^(1/20 t) If we multiply the differential equation through by μ, then we obtain  d/dt (e^(1/20 t) y) =10e^(1/20 t)  e^(1/20 t) y =∫10e^(1/20 t) dt  y(t) =200 + Ce^(-1/20 t)  The initial condition states that y = 4 when t = 0. Substituting these values into the equation and solving for C yields  C = - 196, therefore   y(t) =200  - 196 e^(-1/20 t)  At time t = 10, we have  y(10) =200  - 196 e^(-10/20)≈ 81.1 lb",81.1
12,"A bacterial culture grows at a rate proportional to its size. Initially there are 1,000 bacteria, and after 2 hours there are 3,000. Find the number of bacteria after 5 hours?"," dP/dt = kP → P(t) = P0e^(kt) Given P(0)=1000 and P(2)=3000: 3000=1000e^(2k) → k=ln3/2≈0.5493 P(5)=1000e^(0.5493×5)≈1000e^(2.7465)≈15,588",15588
13,"A tank contains 500L of brine with 25kg salt. Pure water enters at 5L/min, mixture drains at 5L/min. Find salt remaining after 30 minutes?"," dS/dt=−5S/500=−S/100 S(t)=25e^(-t/100) S(30)=25e^(-0.3)≈18.53kg",18.53
14,"A hot metal cools from 300°F to 250°F in 10 minutes (room=70°F). Find temperature after 40 minutes."," T(t)=70+230e^(-kt) At t=10: 250=70+230e^(-10k)→ k≈0.0154 T(40)=70+230e^(-0.0154×40)≈70+230*0.5409≈194.41°F",194.41
15,"A pizza cools from 400°F to 350°F in 5 minutes (kitchen=75°F). Find temperature after 20 minutes."," T(t)=75+325e^(-kt) At t=5: 350=75+325e^(-5k)→ k≈0.0198 T(20)=75+325e^(-0.396)≈75+325*0.673≈293.73°F",293.73
16,"An amount of 50,000  dollar is invested at 5 percent continuous interest per year. Find time it will take to reach 150,000  dollar?"," 150,000=50.000e^(0.05t)→ t=ln(3)/0.05≈21.97 years",21.97
17,"A tank contains 100L of water with 5kg salt. Brine (0.3kg/L) enters at 2L/min while mixture drains at variable rate Q_out=0.1sqrt(V) L/min (V=current volume). Find salt amount after 30 minutes."," Volume changes as dV/dt = 2 - 0.1sqrt(V) Salt balance: dS/dt = 0.6 - 0.1S sqrt(V)/V Coupled system requires numerical solution. At t=30min:  S ≈ 28.14 kg",28.14
18,"A population of insects decreases at a rate proportional to the current population. Initially, there are 5000 insects. After 5 days, the population is 4000. When will the population drop to 2500?"," P(t) = 5000e^(-kt), use P(5) = 4000 to find k ≈ 0.0446. Solve:  2500 = 5000e^(-0.0446t) → t ≈ 15.5 days",15.5
19,"A tank contains 200 liters of salt water with 30 grams of dissolved salt. Brine containing 2 g/L of salt flows into the tank at 4 L/min. The solution is kept well mixed and flows out at the same rate. Find the amount of salt in the tank after 10 minutes.","Let S(t) be the amount of salt (in grams) at time t (min).   Rate in = 4 * 2 = 8 g/min   Rate out = S(t)/200 * 4 = S(t)/50 g/min   So: dS/dt = 8 - S(t)/50 This is linear. Multiply by integrating factor e^(t/50): e^(t/50)dS/dt + 1/50 e^(t/50) S = 8e^(t/50) → d/dt (S e^(t/50)) = 8e^(t/50) Integrating both sides:  S e^(t/50) = 400e^(t/50) + C  → S(t) = 400 + Ce^(-t/50)  Use initial condition  S(0) = 30  :   30 = 400 + C → C = -370 Thus:  S(t) = 400 - 370e^(-t/50) → S(10) = 400 - 370e^(-10/50) ≈ 97.0696",97.0696
20,"A resistor R=5Ω and an inductor L=1H are connected in series to a 10V DC power supply. If the switch is closed at t=0, find the initial current I(0)"," KVL gives:  L dI/dt + RI = V → dI/dt + 5I = 10  Integrating factor: e^(5t)   Multiply through:  e^(5t) dI/dt + 5e^(5t) I = 10e^(5t) → d/dt (I e^(5t)) = 10e^(5t)  Integrate:  I e^(5t) = 2e^(5t) + C → I(t) = 2 + Ce^(-5t)  Initial condition: I(0) = 0 → 0 = 2 + C → C = -2   So: I(t) = 2 - 2e^(-5t) → I(0) = 0",0
21,"A population of insects decreases at a rate proportional to the current population. Initially, there are 5000 insects. After 5 days, the population is 4000. When will the population drop to 2500?","  dP/dt = -kP → P(t) = P0e^(-kt)  Given P(0) = 5000, P(5) = 4000:   4000 = 5000e^(-5k) → e^(-5k) = 0.8 → k = -ln(0.8)/5 ≈ 0.0446  Now solving P(t) = 2500:  2500 = 5000e^(-0.0446t) → 0.5 = e^(-0.0446t) → t = -ln(0.5)/0.0446 ≈ 15.5 days",15.5
22,"In an RC circuit with R = 10kΩ and C = 2μ F , the capacitor is initially uncharged. It is connected to a 12V battery. What is the charge on the capacitor after 0.1 seconds?"," Charge on capacitor:  q(t) = CV(1 - e^(-t/RC))  Given C = 2*10^{-6}F, R = 10^4Ω, V = 12V, RC = 0.02 s   q(0.1) = 2*10^{-6}*12(1 - e^(-0.1/0.02)) =2.4*10^{-5}(1 - e^{-5}) ≈ 2.398*10^{-5}C",0.00002398
23,"A cup of coffee at 90 ° C is left in a room at 20 ° C. After 10 minutes, the temperature is 70°C. Use Newton’s Law of Cooling to determine the temperature after 20 minutes.","Let T(t) be the temperature. Using Newton’s law we have:  dT/dt  = -k(T - T_env), where: T(t)=temperature of the cake at time t, T_env=20°C and k>0=cooling constant.Now solving the ODE dT/dt  = -k(T - 20) using separate varables and using t=0,T(0)=90°C and T(10)=70°C to find the value of C=70°C, we have T(t) = 20 + 70e^(-kt),  T(0) = 90 → A = 70  → T(t) = 20 + 70e^(-kt) At t=10, T=70:   70 = 20 + 70e^(-10k) → e^(-10k) = 0.7143 → k ≈ 0.0337 At t=20:   T(20) = 20 + 70e^(-0.0337 * 20) ≈ 55.8°C",55.8
24,"A radioactive substance decays at a rate proportional to the amount present. Initially, there are 100g. After 10 years, only 60g remain. Find the half-life of the substance."," A(t) = A0e^(-kt),  60 = 100e^(-10k) → e^(-10k) = 0.6 → k = -ln(0.6)/10 ≈ 0.0511  Half-life: 1/2 = e^(-kt_{1/2}) → t_{1/2} = -ln(0.5)/0.0511 ≈ 13.6  years",13.6
25,"A 10mH inductor and a 20Ω resistor are connected in series with a 100V DC source. If the switch is closed at t = 0, what is the current at t = 0.01s?"," KVL: L dI/dt + RI = V → dI/dt + 2000I = 10000 → I(t) = 5(1 - e^(-2000t)) At t = 0.01: I(0.01) = 5(1 - e^(-20)) ≈ 5 A",5
26,"A cake is taken out of the oven at 350°F and placed in a kitchen at 70°F. After 10 minutes, its temperature is 300°F. Find the temperature after 20 minutes using Newton’s Law of Cooling."," Let T(t) be the temperature. Using Newton’s law we have:  dT/dt  = -k(T - T_env), where: T(t)=temperature of the cake at time t, T_env=70°C and k>0=cooling constant.Now solving the ODE dT/dt  = -k(T - 70) using separate variables and using t=0 and T(0)=350°C to find the value of C=280°C, we have T(t) = 70 + 280e^(-kt),  T(10) = 300 → 230 = 280e^(-10k)  → k ≈ 0.0182 → T(20) = 70 + 280e^(-0.0197 * 20) ≈ 258.82°F",258.82
27,"In 2020, an  amount of 200,000 dollars was invested  with the goal of gaining profit. However, due to inflation in Angola, the amount lost value, decaying continuously at 10 percent  per year. What will be the total amount after 10  years?","We have, dP/dt = -kP,  where k = 0.10.  Separating the  variables, we have  dP/P = -k  dt  Integrate both sides, we have ∫ 1/P  dP = -k ∫ dt → ln|P| = -kt + C.  Hence, P(t) = e^C * e^(-kt) = C1 e^(-kt), where C1 = e^C  Apply the initial condition, we are given that P(0) = 200000, so: P(0) = C1 e^0 = C1 → C1 = 200,000. Thus, the solution becomes: P(t) = 200,000 * e^(-0.10t). Compute the amount after 10 years, we have P(10) = 200,000 * e^(-0.10 * 10) = 200,000 * e^(-1). Using e^{-1} ≈ 0.3679, we have P(10) ≈ 200,000 * 0.3679 = 73,580. After 10 years, the investment will be worth approximately 73580 dollars.",73580
28,"A bacterial culture doubles every 30 minutes. If the initial population is 100 cells, how many will there be after 3 hours?","P(t) = 100e^(kt),  P(30) = 200 → k = ln2/30 ≈ 0.0231 → P(180) = 100e^(0.0231 * 180) ≈ 6400",6400
29,"A radioactive sample has a half-life of 12 days. How long will it take for the sample to decay to 10 percent of its original mass?","A(t) = A0e^(-kt),  1/2 = e^(-12k) → k = ln2/12 → 0.1 = e^(-kt) → t = -ln(0.1)/k ≈ 39.9 days",39.9
30,"A  tank contains 100 gallons of water. In error 300 pounds of salt are poured into the tank instead of 200 pounds. To correct this condition, a stopper is removed from the bottom of the the tank allowing 3 gallons of the brine to flow out each minute. At the same time 3 gallons of fresh water per minute are pumped into the tank. If the mixture is kept uniform by constant stirring, how long will it take for the brine to contain the desired amount of salt?","Let x represent the number of pounds of salt in solution at any time t. The change in x in a small time interval ∇t, means that 3∇ gallons of brine will flow out into ∇t minutes. Since the 100 gallons of solution are thoroughly mixed, and x represents the number of pounds of salt present in the solution at any instant of the time t, we may assume that that of the 3∇ t gallons of brine flowing out, ,Hence  3∇t/100 x will be the approximate loss of salt in time ∇t, then ∇x ≈ -3∇t/100 x  ,   ∇x/∇t ≈ - 3/100 x .  Since no salt enters the solution, we are led to the following  differential equation      dx/dt  = -3x/100  ,   dx/x = - 0.03 dt .   Solving this equation, we have log x = -0.03t + c', that is, x = ce^(-0.03t). Using the initial conditions x = 300 when t = 0, we find c = 300. Therefore, the solution is: x(t) = 300e^(-0.03t) Now, when x = 200, we solve for t: 200/300 = e^(-0.03t) → 2/3 = e^(-0.03t) Taking logarithms on both sides: ln(2/3) = -0.03t → ln(3/2) = 0.03t Solving for t: t = ln(3/2)/0.03 ≈ 13.5  minutes.  Therefore, it will take approximately 13.5 minutes for the amount of salt in the solution to be reduced to 200 pounds.",13.5
31,"An amount of 1  dollar is invested at 4 percent continuously interest per year. How long will it take to double this amount?","We are given the continuous compounding formula:  A = Pe^(rt)  Given: P = 1,  r = 0.04,  A = 2  Start with the formula:  2 = 1 * e^(0.04t) → e^(0.04t) = 2  Take the natural logarithm on both sides: ln(2) = 0.04t  Solve for  t: t = ln(2)/0.04 ≈ 0.6931/0.04 ≈ 17.33  years",17.33
32,"A body whose temperature is 180° is immersed in a liquid which is kept at a constant temperature of 60°. In one minute, the temperature of the immersed body decreases to 120°. How long will it take for the body's temperature to decrease to 90°.","Using Newton's Law of Cooling, we have the formula: T(t) = Tenv + (T0 - Tenv) e^(-kt) Given: Tenv = 60°,  T0 = 180°,  T(1) = 120°  We substitute into the formula: T(t) = 60 + (180 - 60)e^(-kt) = 60 + 120e^(-kt) At  t = 1, T(1) = 120, so: 120 = 60 + 120e^(-k) → 60 = 120e^(-k) → 1/2 = e^(-k) Take the natural logarithm of both sides: -k = ln(1/2) = -ln(2) → k = ln(2) ≈ 0.6931 Now, we want to find  t such that  T(t) = 90. Using the equation: 90 = 60 + 120e^(-0.6931t)→ 30 = 120e^(-0.6931t) → 1/4 = e^(-0.6931t) Take the natural logarithm: ln(1/4) = -0.6931t  →  -ln(4) = -0.6931t → t = ln(4)/0.6931 ≈ 1.3863/0.6931 ≈ 2 Therefore, it will take approximately 2 minutes for the body's temperature to decrease to 90°.",2
33,"The temperature in a room is initially 70°. A thermometer, which has been kept in the room, is suddenly placed outside in a colder environment.  After 5 minutes, the thermometer reads 60°F. Five minutes later  the thermometer reads 55°F. Find the outdoor temperature?","Using Newton’s Law of Cooling,  with  T(0) = 70, T(5) = 60  and  T(10) = 55. we have  the general formula given by T(t) = A + (70 - A)e^(-kt). Using the above conditions, we get:  60 = A + (70 - A) u, taking  u = e^(-5k)  → 60 - A = (70 - A) u.  55 = A + (70 - A) u^2 → 55 - A = (70 - A) u^2.  Dividing the two equations: (60 - A)/(55 - A) = (70 - A) u/(70 - A) u^2 = 1/u → u = (55 - A)/(60 - A).  Substituting  u  into the first equation: 60 - A = (70 - A) * (55 - A)/(60 - A).  Multiplying both sides by  60 - A: (60 - A)^2 = (70 - A)(55 - A).  Expanding both sides: (60 - A)^2 = 3600 - 120A + A^2, (70 - A)(55 - A) = 3850 - 125A + A^2. 3600 - 120A + A^2 = 3850 - 125A + A^2 → 3600 - 120A = 3850 - 125A. 5A = 250 → A = 50.  Therefore, the outdoor temperature is  50°F.",50
34,"The rate at which radioactive nuclei decay is proportional to the number of such nuclei that are present in a given sample. Half of the original number of the radioactive nuclei have undergone disintegration in a period of 1500 years. What percent of the original radioactive nuclei will remain after 4500 years?","We have N(t) = N0 e^(-kt) We know  that half of the nuclei decays in 1500 years, hence,  1/2 N0 = N0 e^(-k * 1500) → 1/2 = e^(-1500k) → ln(1/2) = -1500k → k = ln(2)/1500 ≈ 0.6931/1500 ≈ 0.0004621  Therefore, we compute the amount remaining after 4500 years: N(4500) = N0 e^(-k * 4500) = N0 e^(-3 * 1500k) = N0 (e^(-1500k))^3  We already found that  e^(-1500k) = 1/2, so: N(4500) = N0 (1/2)^3 = 1/8 N0 → N(4500) = 0.125 N0 = 12.5  Therefore, after 4500 years, only 12.5% of the original radioactive nuclei will remain.",12.5
35,"The population of  Huambo town increases at  a rate proportional to the number of its inhabitants present at any time t. If the population of Huambo town was 30,000 in 2010 and 35,000 in 2020, what will be the population in 2030?","We have the population growth given by dP/dt = kP → P(t) = P0 e^(kt), whereby, P(0) = 30,000 (population in 2010), P(10) = 35,000 (population in 2020). Calculating for k, we have P(10) = P0 e^(10k) → 35,000 = 30,000 e^(10k)  → 35,000/30,000 = e^(10k)  → 7/6 = e^(10k) →  ln(7/6) = 10k  → k = 1/10 ln(7/6) ≈ 0.15415/10 ≈ 0.015415.  Therefore, P(20) = 30,000 * e^(20 * 0.015415) = 30,000 * e^(0.3083)   → P(20) ≈ 30,000 * 1.3608 ≈ 40,824. The population of Huambo town in the year 2030 will be approximately: 40824",40824
36,"An investment of 1,000,000 kwanzas loses value decaying continuously at 5 percent per year. How long will it take for the amount to 250000?","The continuous decay rate is described by the ODE: dP/dt = -k P, where k = 0.05.  ∫ 1/P  dP = -k ∫ dt, ln|P| = -kt + C.  P(t) = e^C e^(-kt) = C1 e^(-kt), where C1 = e^C  At t=0, P(0) = 1,000,000, so: 1,000,000 = C1 e^0 = C1, thus P(t) = 1,000,000 * e^(-0.05 t).  250,000 = 1,000,000 * e^(-0.05 t), 250,000/1,000,000 = e^(-0.05 t), 0.25 = e^(-0.05 t). Taking the natural logarithm of both sides: ln(0.25) = -0.05 t, t = ln(0.25)/-0.05 = -1.3863/-0.05 = 27.73. The time required for the investment to decay from 1,000,000 to 250,000 kwanzas is approximately 28 years.",28
37,"A man with a parachute jumps at a great height from an airplane moving horizontally and after  10 seconds, he opens his parachute. Assume that the combined weight of the man and parachute is 160 pounds, and the force of the air resistance is proportional to the first power of the velocity, equaling 1/2 when the parachute is closed and 10 v when it is opened.Find his velocity at the end of 15 second?","We are given: W = 160lb, 0 ≤ t < 10,  g = 32ft/s^2,  m = W/g = 160/32 = 5slugs  From Newton’s second law, we have : m dv/dt = W - 1/2 v → 5 dv/dt = 160 - 1/2 v → dv/dt = 32 - 1/10 v  This is a linear first-order ODE: dv/dt + 1/10 v = 32  Integrating factor:  μ(t) = e^(1/10 t),  d/dt ( v e^(1/10 t) ) = 32 e^(1/10 t) → v e^(1/10 t) = 320 e^(1/10 t) + C → v(t) = 320 + C e^(-1/10 t)  Using initial condition v(0) = 0: 0 = 320 + C → C = -320→ v(t) = 320(1 - e^(-1/10 t)) At t = 10:  v(10) = 320(1 - e^(-1)) ≈ 320(1 - 0.3679) ≈ 202.27ft/s  Since the  Parachute Opens (t ≥ 10),  the resistance becomes 10v, and Newton’s law becomes: 5 dv/dt = 160 - 10v → dv/dt = 32 - 2v  This is a linear ODE given by: dv/dt + 2v = 32 The integrating factor is  μ(t) = e^(2t) Multiply through: d/dt ( v e^(2t) ) = 32 e^(2t) → v e^(2t) = 16 e^(2t) + C → v(t) = 16 + C e^(-2t)  Using the  initial condition v(10) = 202.27, we  202.27 = 16 + C e^(-20)→ C = 186.27/e^(-20)  ≈ 186.27/2.06e-9 ≈ 9.04e10  Now computing (v(15), we have: v(15) = 16 + C e^(-30) ≈ 16 + (9.04e10) * (9.35e-14)  ≈ 16 + 0.00845 = 16.00845  Hence, v(15) ≈ 16.01",16.01
38,"Find  rate of interest per year compounded continuously will  100 dollars triple itself in 20 years?","Let:     A(t): amount at time  t     A(0) = 100     A(20) = 300  Since the interest is compounded continuously, the amount satisfies the differential equation: dA/dt = rA where  r is the annual interest rate we want to find.  Solving the ODE, we have dA/dt = rA → A(t) = A0 e^(rt)  Given  A(0) = 100, we get: A(t) = 100 e^(rt)  Using  A(20) = 300, we have  100 e^(20r) = 300 → e^(20r) = 3  Taking the natural logarithm on both sides: 20r = ln(3) → r = ln(3)/20  Therefore,  r = ln(3)/20 ≈ 0.05493  Thus, the interest rate is approximately 5.493 percent per year.",5.493
